assigned_message,message_language,date_sent,is_chosen_from_uniform,is_vax_after_send,count
message_3,English,2021-06-09,False,False,37
message_3,English,2021-06-09,False,True,1
message_3,English,2021-06-09,True,False,564
message_3,English,2021-06-09,True,True,8
message_3,English,2021-06-10,False,False,34
message_3,English,2021-06-10,False,True,2
message_3,English,2021-06-10,True,False,567
message_3,English,2021-06-10,True,True,11
message_3,English,2021-06-11,False,False,32
message_3,English,2021-06-11,True,False,565
message_3,English,2021-06-11,True,True,11
message_3,English,2021-06-14,False,False,26
message_3,English,2021-06-14,False,True,1
message_3,English,2021-06-14,True,False,573
message_3,English,2021-06-14,True,True,11
message_3,English,2021-06-15,False,False,31
message_3,English,2021-06-15,True,False,572
message_3,English,2021-06-15,True,True,5
message_3,Spanish,2021-06-09,False,True,1
message_3,Spanish,2021-06-09,True,False,5
message_3,Spanish,2021-06-10,True,False,2
message_3,Spanish,2021-06-11,False,False,1
message_3,Spanish,2021-06-11,True,False,6
message_3,Spanish,2021-06-11,True,True,1
message_3,Spanish,2021-06-14,True,False,5
message_3,Spanish,2021-06-15,True,False,7
message_4,English,2021-05-25,True,False,1079
message_4,English,2021-05-25,True,True,32
message_4,English,2021-05-26,True,False,1076
message_4,English,2021-05-26,True,True,35
message_4,English,2021-05-27,True,False,1079
message_4,English,2021-05-27,True,True,32
message_4,English,2021-05-28,True,False,1079
message_4,English,2021-05-28,True,True,32
message_4,English,2021-06-02,False,False,245
message_4,English,2021-06-02,False,True,7
message_4,English,2021-06-02,True,False,228
message_4,English,2021-06-02,True,True,5
message_4,English,2021-06-03,False,False,271
message_4,English,2021-06-03,False,True,9
message_4,English,2021-06-03,True,False,197
message_4,English,2021-06-03,True,True,4
message_4,English,2021-06-04,False,False,251
message_4,English,2021-06-04,False,True,5
message_4,English,2021-06-04,True,False,223
message_4,English,2021-06-04,True,True,6
message_4,English,2021-06-07,False,False,250
message_4,English,2021-06-07,False,True,4
message_4,English,2021-06-07,True,False,226
message_4,English,2021-06-07,True,True,2
message_4,English,2021-06-08,False,False,271
message_4,English,2021-06-08,False,True,6
message_4,English,2021-06-08,True,False,202
message_4,English,2021-06-08,True,True,2
message_4,English,2021-06-09,False,False,218
message_4,English,2021-06-09,False,True,1
message_4,English,2021-06-09,True,False,574
message_4,English,2021-06-09,True,True,9
message_4,English,2021-06-10,False,False,246
message_4,English,2021-06-10,False,True,4
message_4,English,2021-06-10,True,False,553
message_4,English,2021-06-10,True,True,5
message_4,English,2021-06-11,False,False,216
message_4,English,2021-06-11,False,True,3
message_4,English,2021-06-11,True,False,583
message_4,English,2021-06-11,True,True,7
message_4,English,2021-06-14,False,False,237
message_4,English,2021-06-14,True,False,570
message_4,English,2021-06-14,True,True,3
message_4,English,2021-06-15,False,False,245
message_4,English,2021-06-15,False,True,2
message_4,English,2021-06-15,True,False,556
message_4,English,2021-06-15,True,True,5
message_4,Spanish,2021-06-09,False,False,4
message_4,Spanish,2021-06-09,True,False,7
message_4,Spanish,2021-06-10,False,False,4
message_4,Spanish,2021-06-10,True,False,1
message_4,Spanish,2021-06-11,False,False,2
message_4,Spanish,2021-06-11,True,False,2
message_4,Spanish,2021-06-14,False,False,1
message_4,Spanish,2021-06-14,True,False,2
message_4,Spanish,2021-06-15,False,False,1
message_4,Spanish,2021-06-15,True,False,3
message_5,English,2021-05-25,True,False,1050
message_5,English,2021-05-25,True,True,61
message_5,English,2021-05-26,True,False,1082
message_5,English,2021-05-26,True,True,29
message_5,English,2021-05-27,True,False,1078
message_5,English,2021-05-27,True,True,33
message_5,English,2021-05-28,True,False,1061
message_5,English,2021-05-28,True,True,50
message_5,English,2021-06-02,False,False,1483
message_5,English,2021-06-02,False,True,22
message_5,English,2021-06-02,True,False,188
message_5,English,2021-06-02,True,True,5
message_5,English,2021-06-03,False,False,1455
message_5,English,2021-06-03,False,True,27
message_5,English,2021-06-03,True,False,216
message_5,English,2021-06-03,True,True,2
message_5,English,2021-06-04,False,False,1426
message_5,English,2021-06-04,False,True,26
message_5,English,2021-06-04,True,False,247
message_5,English,2021-06-04,True,True,2
message_5,English,2021-06-07,False,False,1455
message_5,English,2021-06-07,False,True,18
message_5,English,2021-06-07,True,False,230
message_5,English,2021-06-07,True,True,1
message_5,English,2021-06-08,False,False,1458
message_5,English,2021-06-08,False,True,31
message_5,English,2021-06-08,True,False,208
message_5,English,2021-06-08,True,True,2
message_5,English,2021-06-09,True,False,558
message_5,English,2021-06-09,True,True,15
message_5,English,2021-06-10,True,False,562
